",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"206,""2016-12-06"",26.700722,57.910061,760.119995,117.769997,807.900024,38.486,22.108833,20.517324,122.830002,35.87542"
"207,""2016-12-13"",27.487833,59.260708,766,119.239998,812.5,40.546001,25.08004,20.399353,125.449997,35.67849"
"208,""2016-12-20"",27.459555,58.90675,760.590027,117.269997,807.799988,42.667999,27.091284,20.508251,125.589996,35.618553"
"209,""2016-12-27"",27.294592,57.882126,749.869995,115.050003,792.450012,42.737999,26.341076,20.054525,123.800003,35.498684"
"210,""2017-01-03"",28.041647,58.347855,796.919983,124.900002,827.179993,46.256001,26.474335,20.462877,130.949997,35.378822"
"211,""2017-01-10"",28.053432,58.403744,817.140015,128.339996,830.940002,47.549999,25.524239,20.880301,133.699997,35.002087"
"212,""2017-01-17"",28.298521,58.645939,817.880005,128.929993,844.429993,49.784,25.933893,20.471952,137.389999,35.473011"
"213,""2017-01-24"",28.663795,60.667236,830.380005,130.979996,823.830017,50.125999,27.150509,20.825855,141.220001,35.430195"
"214,""2017-01-31"",30.704651,59.279339,807.640015,132.059998,821.619995,51.554001,28.94952,20.980124,140.970001,35.584309"
"215,""2017-02-07"",31.41164,60.285328,836.530029,134.050003,838.960022,56.119999,26.745792,21.234205,143.199997,34.779465"
